================================================================
         omega_k [cm^-1]          g_k [cm^-1]               
    1.546250729525151e-03     5.856534066531491e+03
    1.405682482056398e-03     5.787176461110410e+03
    1.277893166059448e-03     5.718640078380937e+03
    1.161721060511588e-03     5.650915211373263e+03
    1.056110055388670e-03     5.583992266162381e+03
    9.601000506658433e-04     5.517861760724103e+03
    8.728182281363090e-04     5.452514323784745e+03
    7.934711167009996e-04     5.387940693666762e+03
    7.213373789954913e-04     5.324131717131926e+03
    6.557612537780503e-04     5.261078348223959e+03
    5.961465944641655e-04     5.198771647111912e+03
    5.419514496124510e-04     5.137202778935678e+03
    4.926831360936107e-04     5.076363012654804e+03
    4.478937601531103e-04     5.016243719901446e+03
    4.071761456499427e-04     4.956836373838757e+03
    3.701601324554902e-04     4.898132548024966e+03
    3.365092113615624e-04     4.840123915284365e+03
    3.059174649058744e-04     4.782802246585436e+03
    2.781067863042881e-04     4.726159409926861e+03
    2.528243512073862e-04     4.670187369231789e+03
    2.298403192973509e-04     4.614878183250793e+03
    2.089457448305744e-04     4.560224004473843e+03
    1.899506771309359e-04     4.506217078051610e+03
    1.726824337655054e-04     4.452849740726354e+03
    1.569840307042686e-04     4.400114419772603e+03
    1.427127551926033e-04     4.348003631947724e+03
    1.297388683626185e-04     4.296509982452761e+03
    1.179444257889145e-04     4.245626163903296e+03
    1.072222052665471e-04     4.195344955310805e+03
    9.747473206371837e-05     4.145659221074277e+03
    8.861339278786056e-05     4.096561909982330e+03
    8.055762980934597e-05     4.048046054225736e+03
    7.323420891940547e-05     4.000104768420496e+03
    6.657655356459851e-05     3.952731248641313e+03
    6.052413960542231e-05     3.905918771465561e+03
    5.502194509686479e-05     3.859660693027710e+03
    5.001995008890711e-05     3.813950448084118e+03
    4.547268189970745e-05     3.768781549088229e+03
    4.133880172758612e-05     3.724147585276031e+03
    3.758072884373889e-05     3.680042221761819e+03
    3.416429894924921e-05     3.636459198644121e+03
    3.105845359055359e-05     3.593392330121768e+03
    2.823495780986443e-05     3.550835503619972e+03
    2.566814346373648e-05     3.508782678926453e+03
    2.333467587630866e-05     3.467227887337385e+03
    2.121334170588770e-05     3.426165230813204e+03
    1.928485609638763e-05     3.385588881144117e+03
    1.753168736045658e-05     3.345493079125266e+03
    1.593789760050119e-05     3.305872133741426e+03
    1.448899781870861e-05     3.266720421361178e+03
    1.317181619888483e-05     3.228032384940428e+03
    1.197437836267118e-05     3.189802533235224e+03
    1.088579851155943e-05     3.152025440023733e+03
    9.896180465087222e-06     3.114695743337315e+03
    8.996527695561277e-06     3.077808144700581e+03
    8.178661541442020e-06     3.041357408380361e+03
    7.435146855875123e-06     3.005338360643458e+03
    6.759224414447416e-06     2.969745889023104e+03
    6.144749467692267e-06     2.934574941594060e+03
    5.586135879730823e-06     2.899820526256195e+03
    5.078305345218583e-06     2.865477710026532e+03
    4.616641222933209e-06     2.831541618339556e+03
    4.196946566308888e-06     2.798007434355853e+03
    3.815405969376651e-06     2.764870398278812e+03
    3.468550881255578e-06     2.732125806679406e+03
    3.153228073872078e-06     2.699769011828960e+03
    2.866570976250130e-06     2.667795421039767e+03
    2.605973614775148e-06     2.636200496013463e+03
    2.369066922524764e-06     2.604979752197129e+03
    2.153697202296812e-06     2.574128758147002e+03
    1.957906547543856e-06     2.543643134899644e+03
    1.779915043222761e-06     2.513518555350613e+03
    1.618104584748852e-06     2.483750743640418e+03
    1.471004167954235e-06     2.454335474547760e+03
    1.337276516322638e-06     2.425268572889942e+03
    1.215705923930172e-06     2.396545912930365e+03
    1.105187203573298e-06     2.368163417793019e+03
    1.004715639612431e-06     2.340117058883922e+03
    9.133778541934017e-07     2.312402855319388e+03
    8.303435038124168e-07     2.285016873361049e+03
    7.548577307387539e-07     2.257955225857587e+03
    6.862343006717540e-07     2.231214071693043e+03
    6.238493642471809e-07     2.204789615241677e+03
    5.671357856793645e-07     2.178678105829254e+03
    5.155779869813307e-07     2.152875837200743e+03
    4.687072608921931e-07     2.127379146994274e+03
    4.260975099020554e-07     2.102184416221347e+03
    3.873613726382829e-07     2.077288068753185e+03
    3.521467023984810e-07     2.052686570813180e+03
    3.201333658168356e-07     2.028376430475320e+03
    2.910303325607884e-07     2.004354197168578e+03
    2.645730296007405e-07     1.980616461187166e+03
    2.405209360006927e-07     1.957159853206580e+03
    2.186553963642822e-07     1.933981043805359e+03
    1.987776330584519e-07     1.911076742992554e+03
    1.807069391440582e-07     1.888443699740734e+03
    1.642790355855166e-07     1.866078701524571e+03
    1.493445778050226e-07     1.843978573864850e+03
    1.357677980045722e-07     1.822140179877902e+03
    1.234252709132527e-07     1.800560419830367e+03
    1.122047917393248e-07     1.779236230699219e+03
    1.020043561266625e-07     1.758164585737021e+03
    9.273123284242333e-08     1.737342494042304e+03
    8.430112076584179e-08     1.716767000135051e+03
